---------- Players ----------
Player 0: increasing
Player 1: power
Player 2: cellphones
Player 3: fast
Player 4: shaping
Player 5: innovative
Player 6: forms
Player 7: compact
Player 8: culture :
Player 9: micro - lit,
Player 10: phone
Player 11: soap
Player 12: operas
Player 13: made - for - mobile
Player 14: dramas.
---------- Rewards ----------
v(): 4.561448097229004	 ([])
v(0): 2.147671699523926	 ([increasing])
v(1): 4.042512893676758	 ([power])
v(2): 5.972206115722656	 ([cellphones])
v(3): 5.476819038391113	 ([fast])
v(4): 2.7666802406311035	 ([shaping])
v(5): 1.6523770093917847	 ([innovative])
v(6): 5.795811176300049	 ([forms])
v(7): 6.933590888977051	 ([compact])
v(8): -4.135335445404053	 ([culture :])
v(9): 4.888675689697266	 ([micro - lit,])
v(10): 6.64097261428833	 ([phone])
v(11): -4.449319839477539	 ([soap])
v(12): -4.553410530090332	 ([operas])
v(13): 5.892758846282959	 ([made - for - mobile])
v(14): 0.8433130383491516	 ([dramas.])
v(0 1): 3.464235305786133	 ([increasing][power])
v(0 2): 5.919836521148682	 ([increasing][cellphones])
v(0 3): 0.4783916473388672	 ([increasing][fast])
v(0 4): -0.6652867794036865	 ([increasing][shaping])
v(0 5): -0.5151083469390869	 ([increasing][innovative])
v(0 6): 5.029238700866699	 ([increasing][forms])
v(0 7): 6.207089424133301	 ([increasing][compact])
v(0 8): -4.532352924346924	 ([increasing][culture :])
v(0 9): 0.8932154178619385	 ([increasing][micro - lit,])
v(0 10): 6.554062843322754	 ([increasing][phone])
v(0 11): -4.087377548217773	 ([increasing][soap])
v(0 12): -5.257176399230957	 ([increasing][operas])
v(0 13): 5.489876747131348	 ([increasing][made - for - mobile])
v(0 14): -0.5599287152290344	 ([increasing][dramas.])
v(1 2): 5.862832069396973	 ([power][cellphones])
v(1 3): 4.828882694244385	 ([power][fast])
v(1 4): 2.0955278873443604	 ([power][shaping])
v(1 5): 2.584263801574707	 ([power][innovative])
v(1 6): 5.219048023223877	 ([power][forms])
v(1 7): 6.596884727478027	 ([power][compact])
v(1 8): -3.2538537979125977	 ([power][culture :])
v(1 9): 3.7661900520324707	 ([power][micro - lit,])
v(1 10): 6.231079578399658	 ([power][phone])
v(1 11): -3.390514850616455	 ([power][soap])
v(1 12): -3.094104290008545	 ([power][operas])
v(1 13): 6.2275190353393555	 ([power][made - for - mobile])
v(1 14): 2.1742653846740723	 ([power][dramas.])
v(2 3): 5.696101665496826	 ([cellphones][fast])
v(2 4): 5.471973419189453	 ([cellphones][shaping])
v(2 5): 4.855693817138672	 ([cellphones][innovative])
v(2 6): 5.691631317138672	 ([cellphones][forms])
v(2 7): 5.914508819580078	 ([cellphones][compact])
v(2 8): 6.8574748039245605	 ([cellphones][culture :])
v(2 9): 5.314480304718018	 ([cellphones][micro - lit,])
v(2 10): 5.754176139831543	 ([cellphones][phone])
v(2 11): 5.81152868270874	 ([cellphones][soap])
v(2 12): 6.0626630783081055	 ([cellphones][operas])
v(2 13): 5.348373889923096	 ([cellphones][made - for - mobile])
v(2 14): 6.330314636230469	 ([cellphones][dramas.])
v(3 4): 3.8923377990722656	 ([fast][shaping])
v(3 5): 3.4500672817230225	 ([fast][innovative])
v(3 6): 6.113750457763672	 ([fast][forms])
v(3 7): 6.532167434692383	 ([fast][compact])
v(3 8): 0.8355872631072998	 ([fast][culture :])
v(3 9): 4.953718185424805	 ([fast][micro - lit,])
v(3 10): 6.8645195960998535	 ([fast][phone])
v(3 11): -2.5929572582244873	 ([fast][soap])
v(3 12): -2.0336458683013916	 ([fast][operas])
v(3 13): 6.1647257804870605	 ([fast][made - for - mobile])
v(3 14): 2.4038212299346924	 ([fast][dramas.])
v(4 5): -0.48461174964904785	 ([shaping][innovative])
v(4 6): 3.7712302207946777	 ([shaping][forms])
v(4 7): 4.676206111907959	 ([shaping][compact])
v(4 8): -0.7606674432754517	 ([shaping][culture :])
v(4 9): 0.7755336761474609	 ([shaping][micro - lit,])
v(4 10): 6.150639533996582	 ([shaping][phone])
v(4 11): -3.518620252609253	 ([shaping][soap])
v(4 12): -3.877181053161621	 ([shaping][operas])
v(4 13): 5.454295635223389	 ([shaping][made - for - mobile])
v(4 14): 2.505073070526123	 ([shaping][dramas.])
v(5 6): 4.821302890777588	 ([innovative][forms])
v(5 7): 4.975457191467285	 ([innovative][compact])
v(5 8): -1.2452878952026367	 ([innovative][culture :])
v(5 9): 1.7753422260284424	 ([innovative][micro - lit,])
v(5 10): 5.583009243011475	 ([innovative][phone])
v(5 11): -3.661560535430908	 ([innovative][soap])
v(5 12): -4.389952182769775	 ([innovative][operas])
v(5 13): 4.741726875305176	 ([innovative][made - for - mobile])
v(5 14): -0.9147213697433472	 ([innovative][dramas.])
v(6 7): 6.894082546234131	 ([forms][compact])
v(6 8): 2.0450687408447266	 ([forms][culture :])
v(6 9): 5.5503458976745605	 ([forms][micro - lit,])
v(6 10): 6.3996381759643555	 ([forms][phone])
v(6 11): -1.005597710609436	 ([forms][soap])
v(6 12): -3.1831815242767334	 ([forms][operas])
v(6 13): 5.985928535461426	 ([forms][made - for - mobile])
v(6 14): 1.6892187595367432	 ([forms][dramas.])
v(7 8): 0.20230412483215332	 ([compact][culture :])
v(7 9): 6.292172431945801	 ([compact][micro - lit,])
v(7 10): 7.077553749084473	 ([compact][phone])
v(7 11): -0.45033037662506104	 ([compact][soap])
